TIME_Year;FACT_INDICATOR_FINANCE_Key;UTILITY_Country;INDICATOR_Name;FACT_INDICATOR_FINANCE_Name_In_Document;CURRENCY_Name;INDICATOR_Theme;UTILITY_Name;FACT_INDICATOR_FINANCE_Holding_Company;FACT_INDICATOR_Value;FACT_INDICATOR_FINANCE_Order_Magnitude;FACT_INDICATOR_FINANCE_Mantainer;FACT_INDICATOR_FINANCE_Observations;FACT_INDICATOR_FINANCE_Document;FACT_INDICATOR_FINANCE_Link;FACT_USD_RATE;TIME_Key;FACT_INDICATOR_Value_USD;FACT_INDICATOR_Value_Local
2010;1007772;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;5340;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;5340000
2011;1007773;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;9174;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;9174000
2012;1007774;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;7993;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;7993000
2013;1007775;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;11610;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;11610000
2014;1007776;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;36289;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;36289000
2015;1007777;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;29151;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;29151000
2016;1007778;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;34578;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;34578000
2017;1007779;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;40994;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;40994000
2018;1007780;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;21129;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;21129000
2019;1007781;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;19889;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;19889000
2020;1007782;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;76729;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;76729000
2000;1007804;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;25701;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;25701000
2001;1007805;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;37918;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;37918000
2002;1007806;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;43339;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;43339000
2003;1007807;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;40594;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;40594000
2004;1007808;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;47330;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;47330000
2005;1007809;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;62521;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;62521000
2006;1007810;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;30027;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;30027000
2007;1007811;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;33398;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;33398000
2008;1007812;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;51818;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;51818000
2009;1007813;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;88443;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;88443000
2010;1007814;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;95269;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;95269000
2011;1007815;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;132315;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;132315000
2012;1007816;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;57856;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;57856000
2013;1007817;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;31970;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;31970000
2014;1007818;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;29923;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;29923000
2015;1007819;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;26132;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;26132000
2016;1007820;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;44701;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;44701000
2017;1007821;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;46368;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;46368000
2018;1007822;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;54580;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;54580000
2019;1007823;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;83168;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;83168000
2020;1007824;BELIZE;PASIVOS CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;68181;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;68181000
2000;1007825;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;84491;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;84491000
2001;1007826;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;125021;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;125021000
2002;1007827;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;126788;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;126788000
2003;1007828;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;135735;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;135735000
2004;1007829;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;95308;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;95308000
2005;1007830;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;68771;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;68771000
2006;1007831;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;109910;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;109910000
2007;1007832;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;111614;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;111614000
2008;1007833;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;113725;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;113725000
2009;1007834;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;95994;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;95994000
2010;1007835;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;87746;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;87746000
2011;1007836;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;64502;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;64502000
2012;1007837;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;137184;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;137184000
2013;1007838;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;136219;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;136219000
2014;1007839;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;125866;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;125866000
2015;1007840;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;133364;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;133364000
2016;1007841;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;138486;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;138486000
2017;1007842;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;148400;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;148400000
2018;1007843;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;153708;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;153708000
2019;1007844;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;166165;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;166165000
2020;1007845;BELIZE;PASIVOS NO CORRIENTES;TOTAL CURRENT LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;219553;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;219553000
2000;1007846;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;110192;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;110192000
2001;1007847;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;162939;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;162939000
2002;1007848;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;170127;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;170127000
2003;1007849;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;176329;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;176329000
2004;1007850;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;142638;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;142638000
2005;1007851;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;131292;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;131292000
2006;1007852;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;139937;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;139937000
2007;1007853;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;145012;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;145012000
2008;1007854;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;165543;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;165543000
2009;1007855;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;184437;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;184437000
2010;1007856;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;183015;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;183015000
2011;1007857;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;196817;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;196817000
2012;1007858;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;195040;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;195040000
2013;1007859;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;168189;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;168189000
2014;1007860;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;155789;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;155789000
2015;1007861;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;159496;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;159496000
2016;1007862;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;183187;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;183187000
2017;1007863;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;194768;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;194768000
2018;1007864;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;208288;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;208288000
2019;1007865;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;249333;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;249333000
2020;1007866;BELIZE;PASIVOS TOTALES;TOTAL LIABILITIES;;PASIVOS;BELIZE-BEL;EMPRESA;287734;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;287734000
2000;1007867;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;114135;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;114135000
2001;1007868;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;114015;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;114015000
2002;1007869;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;127391;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;127391000
2003;1007870;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;161791;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;161791000
2004;1007871;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;203834;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;203834000
2005;1007872;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;242381;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;242381000
2006;1007873;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;269016;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;269016000
2007;1007874;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;284726;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;284726000
2008;1007875;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;269714;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;269714000
2009;1007876;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;287830;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;287830000
2010;1007877;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;293888;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;293888000
2011;1007878;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;293690;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;293690000
2012;1007879;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;292793;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;292793000
2013;1007880;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;313172;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;313172000
2014;1007881;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;358735;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;358735000
2015;1007882;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;362230;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;362230000
2016;1007883;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;362624;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;362624000
2017;1007884;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;359419;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;359419000
2018;1007885;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;337849;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;337849000
2019;1007886;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;340958;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;340958000
2020;1007887;BELIZE;PATRIMONIO NETO;TOTAL EQUITY;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;380717;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;380717000
2000;1007888;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;208822;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;208822000
2001;1007889;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;238070;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;238070000
2002;1007890;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;252658;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;252658000
2003;1007891;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;296609;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;296609000
2004;1007892;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;310536;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;310536000
2005;1007893;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;322163;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;322163000
2006;1007894;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;340737;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;340737000
2007;1007895;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;372834;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;372834000
2008;1007896;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;393831;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;393831000
2009;1007897;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;418704;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;418704000
2010;1007898;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;444683;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;444683000
2011;1007899;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;445143;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;445143000
2012;1007900;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;445012;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;445012000
2013;1007901;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;430017;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;430017000
2014;1007902;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;421461;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;421461000
2015;1007903;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;431596;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;431596000
2016;1007904;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;450599;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;450599000
2017;1007905;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;464612;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;464612000
2018;1007906;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;473793;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;473793000
2019;1007907;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;507506;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;507506000
2020;1007908;BELIZE;PLANTAS Y EQUIPOS;PROPERTY PLANT AND EQUIPMENT;;ACTIVOS;BELIZE-BEL;EMPRESA;523388;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;523388000
2014;1007944;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVO CORRIENTE;;ACTIVOS;CNFL;EMPRESA;40367947;1000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;532;;40367947000
2015;1007945;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVO CORRIENTE;;ACTIVOS;CNFL;EMPRESA;48659145;1000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;533;;48659145000
2016;1007946;COSTA RICA;ACTIVOS CORRIENTES;TOTAL ACTIVO CORRIENTE;;ACTIVOS;CNFL;EMPRESA;69988097;1000;Daniel Ferreira;;ESTADO FINANCIERO;REPOSITORIO;;534;;69988097000
